Unnamed: 0,ID,Sentiment,Word_total,Score,Title,Date,Body,Term,Session,Meeting,Sitting,Agenda,Subcorpus,Speaker_role,Speaker_MP,Speaker_Minister,Speaker_party,Speaker_party_name,Party_status,Speaker_name,Speaker_gender,Speaker_birth,Topic_title,Question,Debate,YearMonth,Government,Bloc
76,ParlaMint-DK_20141024114933,6.7201336877979365,184.0,0.036522465694554,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,IA,Inuit Ataqatigiit,,"Olsen, Johan Lund",M,1958,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,
77,ParlaMint-DK_20141024115056,0.0,4.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
78,ParlaMint-DK_20141024115100,1.9692126842979432,116.0,0.01697597141636158,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,EL,Enhedslisten,,"Sørensen, Finn",M,1946,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
79,ParlaMint-DK_20141024115149,0.0,1.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
80,ParlaMint-DK_20141024115153,3.820724248676557,109.0,0.03505251604290419,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,IA,Inuit Ataqatigiit,,"Olsen, Johan Lund",M,1958,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,
81,ParlaMint-DK_20141024115249,0.0,15.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
82,ParlaMint-DK_20141024115255,8.623145656566022,182.0,0.0473799211899232,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,RV,Radikale Venstre,Coalition,"Stampe, Zenia",F,1979,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
83,ParlaMint-DK_20141024115359,0.0,1.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
84,ParlaMint-DK_20141024115401,7.235499879829015,183.0,0.03953825070944817,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,IA,Inuit Ataqatigiit,,"Olsen, Johan Lund",M,1958,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,
85,ParlaMint-DK_20141024115530,0.0,10.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
86,ParlaMint-DK_20141024115533,2.8951180235840868,127.0,0.02279620491011092,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,RV,Radikale Venstre,Coalition,"Stampe, Zenia",F,1979,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
