Unnamed: 0,ID,Sentiment,Word_total,Score,Negscore,Title,Date,Body,Term,Session,Meeting,Sitting,Agenda,Subcorpus,Speaker_role,Speaker_MP,Speaker_Minister,Speaker_party,Speaker_party_name,Party_status,Speaker_name,Speaker_gender,Speaker_birth,Topic_title,Meeting_type,Comission,YearMonth,Government,Caretaker,Bloc
45,ParlaMint-BG_2014-10-27.u50,0.0,2.0,0.0,0.0,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Chairperson,MP,-,GERB,Парламентарна група: Партия ГЕРБ,,"Tsacheva Dangovska, Tsetska",F,1958,"ИЗБОР НА ЗАМЕСТНИК-ПРЕДСЕДАТЕЛИ НА НАРОДНОТО СЪБРАНИЕ, СЪГЛАСНО ЧЛ. 76, АЛ. 3 ОТ КОНСТИТУЦИЯТА НА РЕПУБЛИКА БЪЛГАРИЯ.",ИЗБОР,False,2014-10,Bliznashki,True,Right
46,ParlaMint-BG_2014-10-27.u51,3.4702978322674607,64.0,0.05422340362917907,3.4702978322674607,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Regular,MP,-,RB,Парламентарна група: Реформаторски блок,,"Shtiliyanova Kuneva, Meglena",F,1957,"ИЗБОР НА ЗАМЕСТНИК-ПРЕДСЕДАТЕЛИ НА НАРОДНОТО СЪБРАНИЕ, СЪГЛАСНО ЧЛ. 76, АЛ. 3 ОТ КОНСТИТУЦИЯТА НА РЕПУБЛИКА БЪЛГАРИЯ.",ИЗБОР,False,2014-10,Bliznashki,True,Right
47,ParlaMint-BG_2014-10-27.u52,1.0928014405388342,9.0,0.12142238228209269,1.0928014405388342,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Chairperson,MP,-,GERB,Парламентарна група: Партия ГЕРБ,,"Tsacheva Dangovska, Tsetska",F,1958,"ИЗБОР НА ЗАМЕСТНИК-ПРЕДСЕДАТЕЛИ НА НАРОДНОТО СЪБРАНИЕ, СЪГЛАСНО ЧЛ. 76, АЛ. 3 ОТ КОНСТИТУЦИЯТА НА РЕПУБЛИКА БЪЛГАРИЯ.",ИЗБОР,False,2014-10,Bliznashki,True,Right
48,ParlaMint-BG_2014-10-27.u53,0.0,1.0,0.0,0.0,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Regular,MP,-,PF,Парламентарна група: Патриотичен фронт,,"Симеонов Симеонов, Валери",M,1955,"ИЗБОР НА ЗАМЕСТНИК-ПРЕДСЕДАТЕЛИ НА НАРОДНОТО СЪБРАНИЕ, СЪГЛАСНО ЧЛ. 76, АЛ. 3 ОТ КОНСТИТУЦИЯТА НА РЕПУБЛИКА БЪЛГАРИЯ.",ИЗБОР,False,2014-10,Bliznashki,True,Right
49,ParlaMint-BG_2014-10-27.u54,0.0,2.0,0.0,0.0,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Chairperson,MP,-,GERB,Парламентарна група: Партия ГЕРБ,,"Tsacheva Dangovska, Tsetska",F,1958,"ИЗБОР НА ЗАМЕСТНИК-ПРЕДСЕДАТЕЛИ НА НАРОДНОТО СЪБРАНИЕ, СЪГЛАСНО ЧЛ. 76, АЛ. 3 ОТ КОНСТИТУЦИЯТА НА РЕПУБЛИКА БЪЛГАРИЯ.",ИЗБОР,False,2014-10,Bliznashki,True,Right
50,ParlaMint-BG_2014-10-27.u55,5.151727443495412,68.0,0.07576069769846194,5.151727443495412,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Regular,MP,-,PF,Парламентарна група: Патриотичен фронт,,"Симеонов Симеонов, Валери",M,1955,"ИЗБОР НА ЗАМЕСТНИК-ПРЕДСЕДАТЕЛИ НА НАРОДНОТО СЪБРАНИЕ, СЪГЛАСНО ЧЛ. 76, АЛ. 3 ОТ КОНСТИТУЦИЯТА НА РЕПУБЛИКА БЪЛГАРИЯ.",ИЗБОР,False,2014-10,Bliznashki,True,Right
51,ParlaMint-BG_2014-10-27.u56,0.0,5.0,0.0,0.0,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Chairperson,MP,-,GERB,Парламентарна група: Партия ГЕРБ,,"Tsacheva Dangovska, Tsetska",F,1958,"ИЗБОР НА ЗАМЕСТНИК-ПРЕДСЕДАТЕЛИ НА НАРОДНОТО СЪБРАНИЕ, СЪГЛАСНО ЧЛ. 76, АЛ. 3 ОТ КОНСТИТУЦИЯТА НА РЕПУБЛИКА БЪЛГАРИЯ.",ИЗБОР,False,2014-10,Bliznashki,True,Right
52,ParlaMint-BG_2014-10-27.u57,7.525458954126385,131.0,0.057446251558216685,7.525458954126385,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Regular,MP,-,BDC-NU,Парламентарна група: Български демократичен център - Народен съюз,,"Marinov Iontchev, Roumen",M,1971,"ИЗБОР НА ЗАМЕСТНИК-ПРЕДСЕДАТЕЛИ НА НАРОДНОТО СЪБРАНИЕ, СЪГЛАСНО ЧЛ. 76, АЛ. 3 ОТ КОНСТИТУЦИЯТА НА РЕПУБЛИКА БЪЛГАРИЯ.",ИЗБОР,False,2014-10,Bliznashki,True,Right
53,ParlaMint-BG_2014-10-27.u58,0.5685460200151815,29.0,0.019605035172937293,0.5685460200151815,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Chairperson,MP,-,GERB,Парламентарна група: Партия ГЕРБ,,"Tsacheva Dangovska, Tsetska",F,1958,"ИЗБОР НА ЗАМЕСТНИК-ПРЕДСЕДАТЕЛИ НА НАРОДНОТО СЪБРАНИЕ, СЪГЛАСНО ЧЛ. 76, АЛ. 3 ОТ КОНСТИТУЦИЯТА НА РЕПУБЛИКА БЪЛГАРИЯ.",ИЗБОР,False,2014-10,Bliznashki,True,Right
54,ParlaMint-BG_2014-10-27.u59,4.618941408338458,116.0,0.03981846041671084,4.618941408338458,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Regular,MP,-,AP,Парламентарна група: Партия Атака,,"Николов Сидеров, Волен",M,1956,"ИЗБОР НА ЗАМЕСТНИК-ПРЕДСЕДАТЕЛИ НА НАРОДНОТО СЪБРАНИЕ, СЪГЛАСНО ЧЛ. 76, АЛ. 3 ОТ КОНСТИТУЦИЯТА НА РЕПУБЛИКА БЪЛГАРИЯ.",ИЗБОР,False,2014-10,Bliznashki,True,Right
